Sample	äwê∂é¿å±3TM_NaOH	
22.33	941	384.6416416
22.34	936	384.6169782
22.35	943	384.6515069
22.36	946	384.6663049
22.37	903	384.4542002
22.38	925	384.5627189
22.39	915	384.5133922
22.4	940	384.6367089
22.41	924	384.5577862
22.42	910	384.4887289
22.43	946	384.6663049
22.44	961	384.740295
22.45	956	384.7156316
22.46	946	384.6663049
22.47	948	384.6761703
22.48	929	384.5824496
22.49	936	384.6169782
22.5	928	384.5775169
22.51	922	384.5479209
22.52	904	384.4591328
22.53	907	384.4739308
22.54	943	384.6515069
22.55	931	384.5923149
22.56	908	384.4788635
22.57	900	384.4394022
22.58	938	384.6268436
22.59	930	384.5873822
22.6	943	384.6515069
22.61	923	384.5528535
22.62	921	384.5429882
22.63	939	384.6317763
22.64	918	384.5281902
22.65	905	384.4640655
22.66	897	384.4246042
22.67	916	384.5183249
22.68	952	384.695901
22.69	951	384.6909683
22.7	940	384.6367089
22.71	941	384.6416416
22.72	953	384.7008336
22.73	962	384.7452276
22.74	936	384.6169782
22.75	927	384.5725842
22.76	952	384.695901
22.77	935	384.6120456
22.78	951	384.6909683
22.79	961	384.740295
22.8	967	384.769891
22.81	990	384.8833424
22.82	1004	384.9523997
22.83	1006	384.9622651
22.84	1028	385.0707838
22.85	1049	385.1743699
22.86	1101	385.4308686
22.87	1124	385.54432
22.88	1126	385.5541854
22.89	1117	385.5097913
22.9	1129	385.5689834
22.91	1103	385.440734
22.92	1046	385.1595718
22.93	1021	385.0362551
22.94	1019	385.0263898
22.95	1034	385.1003798
22.96	1056	385.2088985
22.97	958	384.725497
22.98	958	384.725497
22.99	946	384.6663049
23	975	384.8093523
23.01	984	384.8537464
23.02	951	384.6909683
23.03	973	384.799487
23.04	964	384.755093
23.05	954	384.7057663
23.06	947	384.6712376
23.07	928	384.5775169
23.08	902	384.4492675
23.09	914	384.5084595
23.1	947	384.6712376
23.11	963	384.7501603
23.12	957	384.7205643
23.13	940	384.6367089
23.14	959	384.7304296
23.15	956	384.7156316
23.16	968	384.7748237
23.17	966	384.7649583
23.18	960	384.7353623
23.19	944	384.6564396
23.2	916	384.5183249
23.21	939	384.6317763
23.22	953	384.7008336
23.23	961	384.740295
23.24	940	384.6367089
23.25	938	384.6268436
23.26	953	384.7008336
23.27	924	384.5577862
23.28	925	384.5627189
23.29	945	384.6613723
23.3	933	384.6021802
23.31	930	384.5873822
23.32	940	384.6367089
23.33	971	384.7896217
23.34	956	384.7156316
23.35	921	384.5429882
23.36	932	384.5972476
23.37	966	384.7649583
23.38	985	384.858679
23.39	937	384.6219109
23.4	949	384.6811029
23.41	956	384.7156316
23.42	937	384.6219109
23.43	919	384.5331229
23.44	901	384.4443348
23.45	931	384.5923149
23.46	938	384.6268436
23.47	964	384.755093
23.48	989	384.8784097
23.49	974	384.8044197
23.5	960	384.7353623
23.51	937	384.6219109
23.52	955	384.710699
23.53	955	384.710699
23.54	963	384.7501603
23.55	988	384.873477
23.56	995	384.9080057
23.57	947	384.6712376
23.58	924	384.5577862
23.59	947	384.6712376
23.6	921	384.5429882
23.61	929	384.5824496
23.62	918	384.5281902
23.63	954	384.7057663
23.64	967	384.769891
23.65	944	384.6564396
23.66	935	384.6120456
23.67	958	384.725497
23.68	947	384.6712376
23.69	968	384.7748237
23.7	948	384.6761703
23.71	930	384.5873822
23.72	960	384.7353623
23.73	973	384.799487
23.74	964	384.755093
23.75	946	384.6663049
23.76	925	384.5627189
23.77	905	384.4640655
23.78	913	384.5035269
23.79	942	384.6465743
23.8	937	384.6219109
23.81	923	384.5528535
23.82	918	384.5281902
23.83	944	384.6564396
23.84	897	384.4246042
23.85	928	384.5775169
23.86	943	384.6515069
23.87	925	384.5627189
23.88	939	384.6317763
23.89	953	384.7008336
23.9	928	384.5775169
23.91	935	384.6120456
23.92	932	384.5972476
23.93	931	384.5923149
23.94	939	384.6317763
23.95	942	384.6465743
23.96	939	384.6317763
23.97	941	384.6416416
23.98	961	384.740295
23.99	946	384.6663049
24	929	384.5824496
24.01	951	384.6909683
24.02	944	384.6564396
24.03	948	384.6761703
24.04	967	384.769891
24.05	915	384.5133922
24.06	968	384.7748237
24.07	948	384.6761703
24.08	932	384.5972476
24.09	950	384.6860356
24.1	966	384.7649583
24.11	959	384.7304296
24.12	934	384.6071129
24.13	923	384.5528535
24.14	920	384.5380555
24.15	936	384.6169782
24.16	934	384.6071129
24.17	963	384.7501603
24.18	962	384.7452276
24.19	967	384.769891
24.2	939	384.6317763
24.21	934	384.6071129
24.22	987	384.8685444
24.23	951	384.6909683
24.24	929	384.5824496
24.25	952	384.695901
24.26	989	384.8784097
24.27	968	384.7748237
24.28	949	384.6811029
24.29	896	384.4196715
24.3	953	384.7008336
24.31	945	384.6613723
24.32	978	384.8241503
24.33	950	384.6860356
24.34	971	384.7896217
24.35	962	384.7452276
24.36	920	384.5380555
24.37	935	384.6120456
24.38	955	384.710699
24.39	969	384.7797563
24.4	978	384.8241503
24.41	924	384.5577862
24.42	914	384.5084595
24.43	944	384.6564396
24.44	960	384.7353623
24.45	949	384.6811029
24.46	944	384.6564396
24.47	921	384.5429882
24.48	952	384.695901
24.49	964	384.755093
24.5	959	384.7304296
24.51	976	384.814285
24.52	981	384.8389484
24.53	944	384.6564396
24.54	936	384.6169782
24.55	982	384.843881
24.56	982	384.843881
24.57	936	384.6169782
24.58	930	384.5873822
24.59	940	384.6367089
24.6	934	384.6071129
24.61	947	384.6712376
24.62	928	384.5775169
24.63	945	384.6613723
24.64	957	384.7205643
24.65	945	384.6613723
24.66	967	384.769891
24.67	949	384.6811029
24.68	1002	384.9425344
24.69	930	384.5873822
24.7	923	384.5528535
24.71	943	384.6515069
24.72	943	384.6515069
24.73	922	384.5479209
24.74	910	384.4887289
24.75	930	384.5873822
24.76	932	384.5972476
24.77	962	384.7452276
24.78	1014	385.0017264
24.79	973	384.799487
24.8	940	384.6367089
24.81	955	384.710699
24.82	974	384.8044197
24.83	949	384.6811029
24.84	955	384.710699
24.85	964	384.755093
24.86	1004	384.9523997
24.87	985	384.858679
24.88	956	384.7156316
24.89	925	384.5627189
24.9	945	384.6613723
24.91	973	384.799487
24.92	984	384.8537464
24.93	902	384.4492675
24.94	924	384.5577862
24.95	927	384.5725842
24.96	946	384.6663049
24.97	958	384.725497
24.98	932	384.5972476
24.99	930	384.5873822
25	957	384.7205643
25.01	951	384.6909683
25.02	938	384.6268436
25.03	934	384.6071129
25.04	927	384.5725842
25.05	975	384.8093523
25.06	951	384.6909683
25.07	917	384.5232575
25.08	945	384.6613723
25.09	974	384.8044197
25.1	947	384.6712376
25.11	960	384.7353623
25.12	968	384.7748237
25.13	1018	385.0214571
25.14	990	384.8833424
25.15	956	384.7156316
25.16	967	384.769891
25.17	929	384.5824496
25.18	967	384.769891
25.19	960	384.7353623
25.2	936	384.6169782
25.21	947	384.6712376
25.22	927	384.5725842
25.23	943	384.6515069
25.24	984	384.8537464
25.25	984	384.8537464
25.26	966	384.7649583
25.27	951	384.6909683
25.28	967	384.769891
25.29	986	384.8636117
25.3	1005	384.9573324
25.31	947	384.6712376
25.32	983	384.8488137
25.33	1016	385.0115918
25.34	968	384.7748237
25.35	929	384.5824496
25.36	931	384.5923149
25.37	933	384.6021802
25.38	957	384.7205643
25.39	990	384.8833424
25.4	976	384.814285
25.41	992	384.8932077
25.42	986	384.8636117
25.43	992	384.8932077
25.44	987	384.8685444
25.45	949	384.6811029
25.46	899	384.4344695
25.47	928	384.5775169
25.48	954	384.7057663
25.49	958	384.725497
25.5	968	384.7748237
25.51	962	384.7452276
25.52	939	384.6317763
25.53	920	384.5380555
25.54	943	384.6515069
25.55	969	384.7797563
25.56	977	384.8192177
25.57	961	384.740295
25.58	937	384.6219109
25.59	937	384.6219109
25.6	976	384.814285
25.61	989	384.8784097
25.62	963	384.7501603
25.63	971	384.7896217
25.64	958	384.725497
25.65	960	384.7353623
25.66	962	384.7452276
25.67	934	384.6071129
25.68	949	384.6811029
25.69	988	384.873477
25.7	999	384.9277364
25.71	962	384.7452276
25.72	1010	384.9819958
25.73	962	384.7452276
25.74	926	384.5676516
25.75	967	384.769891
25.76	963	384.7501603
25.77	951	384.6909683
25.78	993	384.8981404
25.79	948	384.6761703
25.8	990	384.8833424
25.81	958	384.725497
25.82	962	384.7452276
25.83	978	384.8241503
25.84	932	384.5972476
25.85	960	384.7353623
25.86	1011	384.9869284
25.87	965	384.7600256
25.88	966	384.7649583
25.89	970	384.784689
25.9	987	384.8685444
25.91	978	384.8241503
25.92	985	384.858679
25.93	952	384.695901
25.94	971	384.7896217
25.95	975	384.8093523
25.96	928	384.5775169
25.97	964	384.755093
25.98	961	384.740295
25.99	978	384.8241503
26	1003	384.9474671
26.01	983	384.8488137
26.02	980	384.8340157
26.03	1000	384.9326691
26.04	974	384.8044197
26.05	971	384.7896217
26.06	964	384.755093
26.07	1002	384.9425344
26.08	997	384.9178711
26.09	1001	384.9376017
26.1	970	384.784689
26.11	957	384.7205643
26.12	976	384.814285
26.13	981	384.8389484
26.14	973	384.799487
26.15	981	384.8389484
26.16	982	384.843881
26.17	959	384.7304296
26.18	962	384.7452276
26.19	949	384.6811029
26.2	893	384.4048735
26.21	910	384.4887289
26.22	925	384.5627189
26.23	965	384.7600256
26.24	982	384.843881
26.25	975	384.8093523
26.26	993	384.8981404
26.27	991	384.888275
26.28	969	384.7797563
26.29	933	384.6021802
26.3	937	384.6219109
26.31	979	384.829083
26.32	1018	385.0214571
26.33	1022	385.0411878
26.34	994	384.9030731
26.35	979	384.829083
26.36	1010	384.9819958
26.37	965	384.7600256
26.38	948	384.6761703
26.39	1005	384.9573324
26.4	965	384.7600256
26.41	950	384.6860356
26.42	965	384.7600256
26.43	925	384.5627189
26.44	954	384.7057663
26.45	967	384.769891
26.46	987	384.8685444
26.47	979	384.829083
26.48	966	384.7649583
26.49	980	384.8340157
26.5	988	384.873477
26.51	959	384.7304296
26.52	963	384.7501603
26.53	930	384.5873822
26.54	985	384.858679
26.55	988	384.873477
26.56	965	384.7600256
26.57	990	384.8833424
26.58	952	384.695901
26.59	993	384.8981404
26.6	994	384.9030731
26.61	974	384.8044197
26.62	973	384.799487
26.63	940	384.6367089
26.64	937	384.6219109
26.65	993	384.8981404
26.66	959	384.7304296
26.67	972	384.7945543
26.68	967	384.769891
26.69	963	384.7501603
26.7	993	384.8981404
26.71	959	384.7304296
26.72	963	384.7501603
26.73	992	384.8932077
26.74	999	384.9277364
26.75	980	384.8340157
26.76	997	384.9178711
26.77	966	384.7649583
26.78	974	384.8044197
26.79	1006	384.9622651
26.8	1012	384.9918611
26.81	964	384.755093
26.82	993	384.8981404
26.83	998	384.9228037
26.84	972	384.7945543
26.85	977	384.8192177
26.86	965	384.7600256
26.87	981	384.8389484
26.88	960	384.7353623
26.89	969	384.7797563
26.9	939	384.6317763
26.91	932	384.5972476
26.92	960	384.7353623
26.93	972	384.7945543
26.94	959	384.7304296
26.95	975	384.8093523
26.96	938	384.6268436
26.97	994	384.9030731
26.98	985	384.858679
26.99	978	384.8241503
27	985	384.858679
27.01	939	384.6317763
27.02	970	384.784689
27.03	926	384.5676516
27.04	932	384.5972476
27.05	969	384.7797563
27.06	986	384.8636117
27.07	964	384.755093
27.08	967	384.769891
27.09	968	384.7748237
27.1	966	384.7649583
27.11	1010	384.9819958
27.12	1007	384.9671978
27.13	992	384.8932077
27.14	991	384.888275
27.15	1015	385.0066591
27.16	988	384.873477
27.17	960	384.7353623
27.18	952	384.695901
27.19	991	384.888275
27.2	996	384.9129384
27.21	997	384.9178711
27.22	996	384.9129384
27.23	996	384.9129384
27.24	992	384.8932077
27.25	968	384.7748237
27.26	995	384.9080057
27.27	999	384.9277364
27.28	991	384.888275
27.29	981	384.8389484
27.3	969	384.7797563
27.31	982	384.843881
27.32	1003	384.9474671
27.33	1019	385.0263898
27.34	1003	384.9474671
27.35	1003	384.9474671
27.36	1008	384.9721304
27.37	987	384.8685444
27.38	984	384.8537464
27.39	1013	384.9967938
27.4	1021	385.0362551
27.41	1005	384.9573324
27.42	972	384.7945543
27.43	1004	384.9523997
27.44	995	384.9080057
27.45	969	384.7797563
27.46	942	384.6465743
27.47	962	384.7452276
27.48	977	384.8192177
27.49	969	384.7797563
27.5	981	384.8389484
27.51	1012	384.9918611
27.52	1004	384.9523997
27.53	979	384.829083
27.54	1008	384.9721304
27.55	1040	385.1299758
27.56	999	384.9277364
27.57	1001	384.9376017
27.58	977	384.8192177
27.59	962	384.7452276
27.6	1004	384.9523997
27.61	1021	385.0362551
27.62	970	384.784689
27.63	974	384.8044197
27.64	996	384.9129384
27.65	965	384.7600256
27.66	986	384.8636117
27.67	998	384.9228037
27.68	957	384.7205643
27.69	969	384.7797563
27.7	1010	384.9819958
27.71	998	384.9228037
27.72	1001	384.9376017
27.73	1019	385.0263898
27.74	981	384.8389484
27.75	970	384.784689
27.76	965	384.7600256
27.77	959	384.7304296
27.78	982	384.843881
27.79	1008	384.9721304
27.8	993	384.8981404
27.81	1033	385.0954471
27.82	1043	385.1447738
27.83	1014	385.0017264
27.84	1006	384.9622651
27.85	1003	384.9474671
27.86	966	384.7649583
27.87	983	384.8488137
27.88	1004	384.9523997
27.89	1038	385.1201105
27.9	994	384.9030731
27.91	971	384.7896217
27.92	999	384.9277364
27.93	1012	384.9918611
27.94	1000	384.9326691
27.95	995	384.9080057
27.96	984	384.8537464
27.97	1012	384.9918611
27.98	1020	385.0313224
27.99	1016	385.0115918
28	1029	385.0757165
28.01	1002	384.9425344
28.02	995	384.9080057
28.03	968	384.7748237
28.04	966	384.7649583
28.05	956	384.7156316
28.06	994	384.9030731
28.07	1010	384.9819958
28.08	1007	384.9671978
28.09	973	384.799487
28.1	959	384.7304296
28.11	989	384.8784097
28.12	1004	384.9523997
28.13	971	384.7896217
28.14	992	384.8932077
28.15	1002	384.9425344
28.16	1001	384.9376017
28.17	982	384.843881
28.18	961	384.740295
28.19	973	384.799487
28.2	992	384.8932077
28.21	998	384.9228037
28.22	969	384.7797563
28.23	1026	385.0609185
28.24	1008	384.9721304
28.25	993	384.8981404
28.26	1006	384.9622651
28.27	994	384.9030731
28.28	968	384.7748237
28.29	1011	384.9869284
28.3	1014	385.0017264
28.31	991	384.888275
28.32	984	384.8537464
28.33	975	384.8093523
28.34	994	384.9030731
28.35	990	384.8833424
28.36	999	384.9277364
28.37	996	384.9129384
28.38	994	384.9030731
28.39	995	384.9080057
28.4	1003	384.9474671
28.41	1023	385.0461205
28.42	1025	385.0559858
28.43	1017	385.0165244
28.44	986	384.8636117
28.45	995	384.9080057
28.46	1054	385.1990332
28.47	1059	385.2236965
28.48	1032	385.0905145
28.49	999	384.9277364
28.5	1007	384.9671978
28.51	974	384.8044197
28.52	996	384.9129384
28.53	982	384.843881
28.54	1007	384.9671978
28.55	996	384.9129384
28.56	999	384.9277364
28.57	990	384.8833424
28.58	977	384.8192177
28.59	978	384.8241503
28.6	977	384.8192177
28.61	995	384.9080057
28.62	970	384.784689
28.63	988	384.873477
28.64	1012	384.9918611
28.65	983	384.8488137
28.66	952	384.695901
28.67	984	384.8537464
28.68	1016	385.0115918
28.69	1014	385.0017264
28.7	1025	385.0559858
28.71	1014	385.0017264
28.72	953	384.7008336
28.73	948	384.6761703
28.74	1012	384.9918611
28.75	1017	385.0165244
28.76	974	384.8044197
28.77	983	384.8488137
28.78	1007	384.9671978
28.79	999	384.9277364
28.8	967	384.769891
28.81	1009	384.9770631
28.82	1033	385.0954471
28.83	1007	384.9671978
28.84	974	384.8044197
28.85	994	384.9030731
28.86	1021	385.0362551
28.87	1038	385.1201105
28.88	1041	385.1349085
28.89	1060	385.2286292
28.9	1009	384.9770631
28.91	1015	385.0066591
28.92	1035	385.1053125
28.93	1003	384.9474671
28.94	993	384.8981404
28.95	996	384.9129384
28.96	987	384.8685444
28.97	977	384.8192177
28.98	986	384.8636117
28.99	1013	384.9967938
29	1002	384.9425344
29.01	977	384.8192177
29.02	974	384.8044197
29.03	1009	384.9770631
29.04	1035	385.1053125
29.05	1039	385.1250432
29.06	998	384.9228037
29.07	1023	385.0461205
29.08	1047	385.1645045
29.09	1000	384.9326691
29.1	1017	385.0165244
29.11	1013	384.9967938
29.12	990	384.8833424
29.13	1032	385.0905145
29.14	1031	385.0855818
29.15	998	384.9228037
29.16	1023	385.0461205
29.17	1042	385.1398412
29.18	1047	385.1645045
29.19	1033	385.0954471
29.2	1032	385.0905145
29.21	1027	385.0658511
29.22	1037	385.1151778
29.23	1021	385.0362551
29.24	996	384.9129384
29.25	1009	384.9770631
29.26	1015	385.0066591
29.27	1008	384.9721304
29.28	1012	384.9918611
29.29	1038	385.1201105
29.3	1034	385.1003798
29.31	1030	385.0806491
29.32	1028	385.0707838
29.33	1046	385.1595718
29.34	1015	385.0066591
29.35	1001	384.9376017
29.36	1009	384.9770631
29.37	1035	385.1053125
29.38	1027	385.0658511
29.39	1042	385.1398412
29.4	1025	385.0559858
29.41	997	384.9178711
29.42	987	384.8685444
29.43	1012	384.9918611
29.44	1047	385.1645045
29.45	1052	385.1891679
29.46	1030	385.0806491
29.47	1017	385.0165244
29.48	1009	384.9770631
29.49	1052	385.1891679
29.5	1062	385.2384945
29.51	1036	385.1102452
29.52	1030	385.0806491
29.53	1052	385.1891679
29.54	1030	385.0806491
29.55	1042	385.1398412
29.56	1050	385.1793025
29.57	1022	385.0411878
29.58	1054	385.1990332
29.59	1077	385.3124846
29.6	1055	385.2039659
29.61	1016	385.0115918
29.62	1021	385.0362551
29.63	1054	385.1990332
29.64	1049	385.1743699
29.65	1046	385.1595718
29.66	1047	385.1645045
29.67	1041	385.1349085
29.68	1026	385.0609185
29.69	1032	385.0905145
29.7	1030	385.0806491
29.71	1047	385.1645045
29.72	1075	385.3026192
29.73	1061	385.2335619
29.74	1076	385.3075519
29.75	1065	385.2532926
29.76	1053	385.1941005
29.77	1071	385.2828886
29.78	1046	385.1595718
29.79	1017	385.0165244
29.8	1031	385.0855818
29.81	1038	385.1201105
29.82	1048	385.1694372
29.83	1033	385.0954471
29.84	1029	385.0757165
29.85	1034	385.1003798
29.86	1068	385.2680906
29.87	1078	385.3174173
29.88	1078	385.3174173
29.89	1080	385.3272826
29.9	1103	385.440734
29.91	1080	385.3272826
29.92	1039	385.1250432
29.93	1039	385.1250432
29.94	1050	385.1793025
29.95	1088	385.3667439
29.96	1093	385.3914073
29.97	1053	385.1941005
29.98	1040	385.1299758
29.99	1101	385.4308686
30	1114	385.4949933
30.01	1091	385.381542
30.02	1078	385.3174173
30.03	1073	385.2927539
30.04	1080	385.3272826
30.05	1074	385.2976866
30.06	1082	385.3371479
30.07	1069	385.2730232
30.08	1042	385.1398412
30.09	1062	385.2384945
30.1	1098	385.4160706
30.11	1104	385.4456667
30.12	1119	385.5196567
30.13	1102	385.4358013
30.14	1127	385.559118
30.15	1122	385.5344547
30.16	1167	385.7564248
30.17	1193	385.8846742
30.18	1212	385.9783949
30.19	1190	385.8698762
30.2	1187	385.8550782
30.21	1237	386.1017116
30.22	1286	386.3434124
30.23	1344	386.6295072
30.24	1427	387.0389188
30.25	1491	387.3546096
30.26	1600	387.8922705
30.27	1859	389.1698318
30.28	2294	391.3155428
30.29	2872	394.1666256
30.3	3675	398.1275588
30.31	4689	403.1292853
30.32	5707	408.1507424
30.33	6345	411.2977852
30.34	6312	411.1350072
30.35	5743	408.3283185
30.36	4857	403.9579737
30.37	4057	400.0118384
30.38	3638	397.9450501
30.39	3625	397.8809254
30.4	3777	398.6306911
30.41	3904	399.25714
30.42	3718	398.3396636
30.43	3265	396.1051645
30.44	2639	393.0173137
30.45	2105	390.3832684
30.46	1730	388.5335175
30.47	1520	387.497657
30.48	1381	386.812016
30.49	1283	386.3286144
30.5	1220	386.0178563
30.51	1220	386.0178563
30.52	1200	385.9192029
30.53	1175	385.7958862
30.54	1161	385.7268288
30.55	1191	385.8748089
30.56	1167	385.7564248
30.57	1100	385.425936
30.58	1112	385.485128
30.59	1123	385.5393874
30.6	1102	385.4358013
30.61	1118	385.514724
30.62	1078	385.3174173
30.63	1084	385.3470133
30.64	1089	385.3716766
30.65	1069	385.2730232
30.66	1089	385.3716766
30.67	1108	385.4653973
30.68	1097	385.411138
30.69	1076	385.3075519
30.7	1039	385.1250432
30.71	1069	385.2730232
30.72	1077	385.3124846
30.73	1075	385.3026192
30.74	1081	385.3322153
30.75	1073	385.2927539
30.76	1049	385.1743699
30.77	1067	385.2631579
30.78	1069	385.2730232
30.79	1057	385.2138312
30.8	1088	385.3667439
30.81	1097	385.411138
30.82	1061	385.2335619
30.83	1044	385.1497065
30.84	1028	385.0707838
30.85	1030	385.0806491
30.86	1034	385.1003798
30.87	1057	385.2138312
30.88	1063	385.2434272
30.89	1034	385.1003798
30.9	1055	385.2039659
30.91	1079	385.3223499
30.92	1051	385.1842352
30.93	1059	385.2236965
30.94	1083	385.3420806
30.95	1065	385.2532926
30.96	1060	385.2286292
30.97	1045	385.1546392
30.98	1056	385.2088985
30.99	1062	385.2384945
31	1056	385.2088985
31.01	1044	385.1497065
31.02	1060	385.2286292
31.03	1051	385.1842352
31.04	1032	385.0905145
31.05	1089	385.3716766
31.06	1048	385.1694372
31.07	1022	385.0411878
31.08	1060	385.2286292
31.09	1039	385.1250432
31.1	1025	385.0559858
31.11	1043	385.1447738
31.12	1083	385.3420806
31.13	1083	385.3420806
31.14	1066	385.2582252
31.15	1073	385.2927539
31.16	1097	385.411138
31.17	1082	385.3371479
31.18	1056	385.2088985
31.19	1058	385.2187639
31.2	1038	385.1201105
31.21	1036	385.1102452
31.22	1037	385.1151778
31.23	1067	385.2631579
